"","McAllister.LTS.JH22","McAllister.LTS.JH23","McAllister.LTS.JH24","McAllister.LTS.JH25","McAllister.LTS.JH26","McAllister.LTS.JH27","McAllister.LTS.JH28","McAllister.LTS.JH29","McAllister.LTS.JH30","McAllister.LTS.JH31","McAllister.LTS.JH32","McAllister.LTS.JH33","McAllister.LTS.JH34","McAllister.LTS.JH35","McAllister.LTS.JH36","McAllister.LTS.MD1","McAllister.LTS.MD10","McAllister.LTS.MD11","McAllister.LTS.MD12","McAllister.LTS.MD13","McAllister.LTS.MD14","McAllister.LTS.MD15","McAllister.LTS.MD16","McAllister.LTS.MD17","McAllister.LTS.MD18","McAllister.LTS.MD19","McAllister.LTS.MD2","McAllister.LTS.MD20","McAllister.LTS.MD21","McAllister.LTS.MD3","McAllister.LTS.MD4","McAllister.LTS.MD5","McAllister.LTS.MD6","McAllister.LTS.MD7","McAllister.LTS.MD8","McAllister.LTS.MD9","McAllister.STS.JH23","McAllister.STS.JH24","McAllister.STS.JH25","McAllister.STS.JH26","McAllister.STS.JH27","McAllister.STS.JH28","McAllister.STS.JH29","McAllister.STS.JH30","McAllister.STS.JH31","McAllister.STS.JH32","McAllister.STS.MD1","McAllister.STS.MD10","McAllister.STS.MD11","McAllister.STS.MD12","McAllister.STS.MD13","McAllister.STS.MD14","McAllister.STS.MD15","McAllister.STS.MD16","McAllister.STS.MD17","McAllister.STS.MD18","McAllister.STS.MD19","McAllister.STS.MD2","McAllister.STS.MD20","McAllister.STS.MD21","McAllister.STS.MD22","McAllister.STS.MD3","McAllister.STS.MD4","McAllister.STS.MD5","McAllister.STS.MD6","McAllister.STS.MD7","McAllister.STS.MD8","McAllister.STS.MD9"
"Zotu.0067",0,0,408,0,0,0,0,0,434,0,0,666,4,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,26,0,0,1,0,0,0,409,0,0,0,0,0,0,0,271,1,0,0,0,0,0,16,0,151,0,0,0,376,0,0,0,734,0,0,0
"Zotu.0068",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
"Zotu.0069",17,0,132,0,0,0,0,3,0,0,331,0,0,0,0,0,0,0,0,0,1,226,0,0,57,0,0,0,0,0,49,0,0,0,0,0,0,0,0,371,0,581,463,0,0,0,474,333,0,0,122,0,0,280,0,0,0,0,0,1,0,0,0,4,135,0,0,0
"Zotu.0070",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,5,0,0,0,0,132,0,0,2590,480,0,0,0,0,76,0,0,0,0,0,0,2,0,0,0,1,64,0,0,0,0,0,0,0
"Zotu.0071",128,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,253,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu.0072",0,0,0,0,0,0,0,0,66,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,354,0,0,192,0,0,0,0,0,0,390,0,0,0,0,0,0,0,157,0,1,0,0,0,682,0,0,57,0,0,0,247,0,0,0,818,0,0,244
"Zotu.0073",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,277,0,3,173,0,0,0,191,369,0,0,121,399,2,0,2,0,0,0,0,0,0,427,0,0,0,0,0,0,114,0,0,0,0,0,0,0,151,0,0,0,0,0,1,0,0,0,1043,0,0,0
"Zotu.0074",0,0,587,0,544,0,0,0,305,0,0,0,0,0,0,0,273,0,0,254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,4,171,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,609,0,0,169
"Zotu.0075",0,0,0,200,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,57,0,0,483,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,645,302,0,0,0,0,0,0,0,0,203,0,0,0,0,0,462,839,0,0,0,0
"Zotu.0076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,60,28,0,0,0,1,0,0,672,0,0,0,105,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,550,0,0,0,522,1250,0,0,0,108,0,349,0
